variable_label,variable_name,year,category,births
risk_factors_checked,Risk Factors Checked,2018,5 cigarettes daily,34256
risk_factors_checked,Risk Factors Checked,2018,6 cigarettes daily,7663
risk_factors_checked,Risk Factors Checked,2018,7 cigarettes daily,5115
risk_factors_checked,Risk Factors Checked,2018,8 cigarettes daily,4460
risk_factors_checked,Risk Factors Checked,2018,9 cigarettes daily,758
risk_factors_checked,Risk Factors Checked,2018,10 cigarettes daily,68380
risk_factors_checked,Risk Factors Checked,2018,11 cigarettes daily,265
risk_factors_checked,Risk Factors Checked,2018,12 cigarettes daily,1373
risk_factors_checked,Risk Factors Checked,2018,13 cigarettes daily,167
risk_factors_checked,Risk Factors Checked,2018,14 cigarettes daily,138
risk_factors_checked,Risk Factors Checked,2018,15 cigarettes daily,5000
risk_factors_checked,Risk Factors Checked,2018,16 cigarettes daily,73
risk_factors_checked,Risk Factors Checked,2018,17 cigarettes daily,47
risk_factors_checked,Risk Factors Checked,2018,18 cigarettes daily,96
risk_factors_checked,Risk Factors Checked,2018,19 cigarettes daily,27
risk_factors_checked,Risk Factors Checked,2018,20 cigarettes daily,29856
risk_factors_checked,Risk Factors Checked,2018,21 cigarettes daily,45
risk_factors_checked,Risk Factors Checked,2018,22 cigarettes daily,17
risk_factors_checked,Risk Factors Checked,2018,23 cigarettes daily,14
risk_factors_checked,Risk Factors Checked,2018,24 cigarettes daily,49
risk_factors_checked,Risk Factors Checked,2018,25 cigarettes daily,169
risk_factors_checked,Risk Factors Checked,2018,30 cigarettes daily,1003
risk_factors_checked,Risk Factors Checked,2018,35 cigarettes daily,30
risk_factors_checked,Risk Factors Checked,2018,40 cigarettes daily,1325
risk_factors_checked,Risk Factors Checked,2018,45 cigarettes daily,18
risk_factors_checked,Risk Factors Checked,2018,50 cigarettes daily,32
risk_factors_checked,Risk Factors Checked,2018,60 cigarettes daily,333
risk_factors_checked,Risk Factors Checked,2018,80 cigarettes daily,122
risk_factors_checked,Risk Factors Checked,2018,90 cigarettes daily,27
risk_factors_checked,Risk Factors Checked,2018,98 or more,372
risk_factors_checked,Risk Factors Checked,2018,Unknown or Not Stated,17387
risk_factors_checked,Risk Factors Checked,2019,0 cigarettes daily,3542665
risk_factors_checked,Risk Factors Checked,2019,1 cigarettes daily,7448
risk_factors_checked,Risk Factors Checked,2019,2 cigarettes daily,10466
risk_factors_checked,Risk Factors Checked,2019,3 cigarettes daily,12433
risk_factors_checked,Risk Factors Checked,2019,4 cigarettes daily,9501
risk_factors_checked,Risk Factors Checked,2019,5 cigarettes daily,31095
risk_factors_checked,Risk Factors Checked,2019,6 cigarettes daily,6698
risk_factors_checked,Risk Factors Checked,2019,7 cigarettes daily,4565
risk_factors_checked,Risk Factors Checked,2019,8 cigarettes daily,3889
risk_factors_checked,Risk Factors Checked,2019,9 cigarettes daily,805
risk_factors_checked,Risk Factors Checked,2019,10 cigarettes daily,61767
risk_factors_checked,Risk Factors Checked,2019,11 cigarettes daily,224
risk_factors_checked,Risk Factors Checked,2019,12 cigarettes daily,1141
risk_factors_checked,Risk Factors Checked,2019,13 cigarettes daily,165
risk_factors_checked,Risk Factors Checked,2019,14 cigarettes daily,106
risk_factors_checked,Risk Factors Checked,2019,15 cigarettes daily,4408
risk_factors_checked,Risk Factors Checked,2019,16 cigarettes daily,73
risk_factors_checked,Risk Factors Checked,2019,17 cigarettes daily,37
risk_factors_checked,Risk Factors Checked,2019,18 cigarettes daily,81
risk_factors_checked,Risk Factors Checked,2019,19 cigarettes daily,20
risk_factors_checked,Risk Factors Checked,2019,20 cigarettes daily,27511
risk_factors_checked,Risk Factors Checked,2019,21 cigarettes daily,28
risk_factors_checked,Risk Factors Checked,2019,22 cigarettes daily,15
risk_factors_checked,Risk Factors Checked,2019,23 cigarettes daily,10
risk_factors_checked,Risk Factors Checked,2019,24 cigarettes daily,50
risk_factors_checked,Risk Factors Checked,2019,25 cigarettes daily,137
risk_factors_checked,Risk Factors Checked,2019,30 cigarettes daily,891
risk_factors_checked,Risk Factors Checked,2019,35 cigarettes daily,26
risk_factors_checked,Risk Factors Checked,2019,40 cigarettes daily,1234
risk_factors_checked,Risk Factors Checked,2019,45 cigarettes daily,24
risk_factors_checked,Risk Factors Checked,2019,50 cigarettes daily,51
risk_factors_checked,Risk Factors Checked,2019,55 cigarettes daily,12
risk_factors_checked,Risk Factors Checked,2019,60 cigarettes daily,262
risk_factors_checked,Risk Factors Checked,2019,80 cigarettes daily,115
risk_factors_checked,Risk Factors Checked,2019,90 cigarettes daily,18
risk_factors_checked,Risk Factors Checked,2019,98 or more,407
risk_factors_checked,Risk Factors Checked,2019,Unknown or Not Stated,19104
risk_factors_checked,Risk Factors Checked,2020,0 cigarettes daily,3432440
risk_factors_checked,Risk Factors Checked,2020,1 cigarettes daily,6723
risk_factors_checked,Risk Factors Checked,2020,2 cigarettes daily,9709
risk_factors_checked,Risk Factors Checked,2020,3 cigarettes daily,11270
risk_factors_checked,Risk Factors Checked,2020,4 cigarettes daily,8416
risk_factors_checked,Risk Factors Checked,2020,5 cigarettes daily,27436
risk_factors_checked,Risk Factors Checked,2020,6 cigarettes daily,6084
risk_factors_checked,Risk Factors Checked,2020,7 cigarettes daily,4010
risk_factors_checked,Risk Factors Checked,2020,8 cigarettes daily,3463
risk_factors_checked,Risk Factors Checked,2020,9 cigarettes daily,728
risk_factors_checked,Risk Factors Checked,2020,10 cigarettes daily,55089
